Date,Open,High,Low,Close,Adj Close,Volume
2001-08-22,null,null,null,null,null,null
2001-08-23,null,null,null,null,null,null
2001-08-24,null,null,null,null,null,null
2001-08-27,null,null,null,null,null,null
2001-08-28,null,null,null,null,null,null
2001-08-29,null,null,null,null,null,null
2001-08-30,null,null,null,null,null,null
2001-08-31,null,null,null,null,null,null
2001-09-03,null,null,null,null,null,null
2001-09-04,300000.000000,300000.000000,120000.000000,120000.000000,119754.109375,0
2001-09-05,300000.000000,300000.000000,120000.000000,120000.000000,119754.109375,0
2001-09-06,300000.000000,300000.000000,120000.000000,120000.000000,119754.109375,0
2001-09-07,null,null,null,null,null,null
2001-09-10,300000.000000,300000.000000,120000.000000,120000.000000,119754.109375,0
2001-09-11,300000.000000,300000.000000,120000.000000,120000.000000,119754.109375,0
2001-09-12,300000.000000,300000.000000,120000.000000,120000.000000,119754.109375,0
2001-09-13,null,null,null,null,null,null
2001-09-14,null,null,null,null,null,null
2001-09-17,300000.000000,300000.000000,75000.000000,75000.000000,74846.320313,0
2001-09-18,0.075000,0.075000,0.075000,0.075000,0.074846,0
2001-09-19,0.075000,0.075000,0.075000,0.075000,0.074846,0
2001-09-20,0.300000,0.300000,0.300000,0.300000,0.299385,2
2001-09-21,null,null,null,null,null,null
2001-09-24,null,null,null,null,null,null
2001-09-25,null,null,null,null,null,null
2001-09-26,null,null,null,null,null,null
2001-09-27,null,null,null,null,null,null
2001-09-28,null,null,null,null,null,null
2001-10-01,null,null,null,null,null,null
2001-10-02,null,null,null,null,null,null
2001-10-03,null,null,null,null,null,null
2001-10-04,null,null,null,null,null,null
2001-10-05,null,null,null,null,null,null
2001-10-08,null,null,null,null,null,null
2001-10-09,null,null,null,null,null,null
2001-10-10,null,null,null,null,null,null
2001-10-11,null,null,null,null,null,null
2001-10-12,null,null,null,null,null,null
2001-10-15,null,null,null,null,null,null
2001-10-16,null,null,null,null,null,null
2001-10-17,null,null,null,null,null,null
2001-10-18,null,null,null,null,null,null
2001-10-19,null,null,null,null,null,null
2001-10-22,null,null,null,null,null,null
2001-10-23,null,null,null,null,null,null
2001-10-24,null,null,null,null,null,null
2001-10-25,null,null,null,null,null,null
2001-10-26,null,null,null,null,null,null
2001-10-29,null,null,null,null,null,null
2001-10-30,null,null,null,null,null,null
2001-10-31,null,null,null,null,null,null
2001-11-01,null,null,null,null,null,null
2001-11-02,null,null,null,null,null,null
2001-11-05,null,null,null,null,null,null
2001-11-06,null,null,null,null,null,null
2001-11-07,null,null,null,null,null,null
2001-11-08,null,null,null,null,null,null
2001-11-09,null,null,null,null,null,null
2001-11-12,null,null,null,null,null,null
2001-11-13,null,null,null,null,null,null
2001-11-14,null,null,null,null,null,null
2001-11-15,null,null,null,null,null,null
2001-11-16,null,null,null,null,null,null
2001-11-19,null,null,null,null,null,null
2001-11-20,null,null,null,null,null,null
2001-11-21,null,null,null,null,null,null
2001-11-22,null,null,null,null,null,null
2001-11-23,null,null,null,null,null,null
2001-11-26,null,null,null,null,null,null
2001-11-27,null,null,null,null,null,null
2001-11-28,null,null,null,null,null,null
2001-11-29,null,null,null,null,null,null
2001-11-30,null,null,null,null,null,null
2001-12-03,null,null,null,null,null,null
2001-12-04,null,null,null,null,null,null
2001-12-05,null,null,null,null,null,null
2001-12-06,null,null,null,null,null,null
2001-12-07,null,null,null,null,null,null
2001-12-10,null,null,null,null,null,null
2001-12-11,null,null,null,null,null,null
2001-12-12,0.090000,0.090000,0.090000,0.090000,0.089816,0
2001-12-13,0.090000,0.090000,0.090000,0.090000,0.089816,0
2001-12-14,0.090000,0.090000,0.090000,0.090000,0.089816,0
2001-12-17,0.090000,0.090000,0.090000,0.090000,0.089816,0
2001-12-18,0.090000,0.090000,0.090000,0.090000,0.089816,0
2001-12-19,null,null,null,null,null,null
2001-12-20,0.090000,0.090000,0.090000,0.090000,0.089816,0
2001-12-21,0.090000,0.090000,0.090000,0.090000,0.089816,0
2001-12-24,null,null,null,null,null,null
2001-12-25,null,null,null,null,null,null
2001-12-26,0.090000,0.090000,0.090000,0.090000,0.089816,0
2001-12-27,0.090000,0.090000,0.090000,0.090000,0.089816,0
2001-12-28,0.090000,0.090000,0.090000,0.090000,0.089816,0
2001-12-31,null,null,null,null,null,null
2002-01-01,null,null,null,null,null,null
2002-01-02,0.112500,0.112500,0.112500,0.112500,0.112269,0
2002-01-03,0.112500,0.112500,0.112500,0.112500,0.112269,0
2002-01-04,0.112500,0.112500,0.112500,0.112500,0.112269,0
2002-01-07,0.300000,0.300000,0.300000,0.300000,0.299385,18
2002-01-08,null,null,null,null,null,null
2002-01-09,null,null,null,null,null,null
2002-01-10,null,null,null,null,null,null
2002-01-11,null,null,null,null,null,null
2002-01-14,null,null,null,null,null,null
2002-01-15,null,null,null,null,null,null
2002-01-16,null,null,null,null,null,null
2002-01-17,null,null,null,null,null,null
2002-01-18,null,null,null,null,null,null
2002-01-21,null,null,null,null,null,null
2002-01-22,null,null,null,null,null,null
2002-01-23,null,null,null,null,null,null
2002-01-24,null,null,null,null,null,null
2002-01-25,null,null,null,null,null,null
2002-01-28,null,null,null,null,null,null
2002-01-29,null,null,null,null,null,null
2002-01-30,null,null,null,null,null,null
2002-01-31,null,null,null,null,null,null
2002-02-01,null,null,null,null,null,null
2002-02-04,null,null,null,null,null,null
2002-02-05,null,null,null,null,null,null
2002-02-06,null,null,null,null,null,null
2002-02-07,null,null,null,null,null,null
2002-02-08,null,null,null,null,null,null
2002-02-11,null,null,null,null,null,null
2002-02-12,null,null,null,null,null,null
2002-02-13,null,null,null,null,null,null
2002-02-14,null,null,null,null,null,null
2002-02-15,null,null,null,null,null,null
2002-02-18,null,null,null,null,null,null
2002-02-19,null,null,null,null,null,null
2002-02-20,null,null,null,null,null,null
2002-02-21,null,null,null,null,null,null
2002-02-22,null,null,null,null,null,null
2002-02-25,null,null,null,null,null,null
2002-02-26,null,null,null,null,null,null
2002-02-27,null,null,null,null,null,null
2002-02-28,null,null,null,null,null,null
2002-03-01,null,null,null,null,null,null
2002-03-04,null,null,null,null,null,null
2002-03-05,null,null,null,null,null,null
2002-03-06,null,null,null,null,null,null
2002-03-07,null,null,null,null,null,null
2002-03-08,null,null,null,null,null,null
2002-03-11,null,null,null,null,null,null
2002-03-12,null,null,null,null,null,null
2002-03-13,null,null,null,null,null,null
2002-03-14,null,null,null,null,null,null
2002-03-15,null,null,null,null,null,null
2002-03-18,null,null,null,null,null,null
2002-03-19,null,null,null,null,null,null
2002-03-20,null,null,null,null,null,null
2002-03-21,null,null,null,null,null,null
2002-03-22,null,null,null,null,null,null
2002-03-25,null,null,null,null,null,null
2002-03-26,null,null,null,null,null,null
2002-03-27,null,null,null,null,null,null
2002-03-28,null,null,null,null,null,null
2002-03-29,null,null,null,null,null,null
2002-04-01,null,null,null,null,null,null
2002-04-02,null,null,null,null,null,null
2002-04-03,null,null,null,null,null,null
2002-04-04,null,null,null,null,null,null
2002-04-05,null,null,null,null,null,null
2002-04-08,null,null,null,null,null,null
2002-04-09,null,null,null,null,null,null
2002-04-10,null,null,null,null,null,null
2002-04-11,null,null,null,null,null,null
2002-04-12,null,null,null,null,null,null
2002-04-15,null,null,null,null,null,null
2002-04-16,null,null,null,null,null,null
2002-04-17,null,null,null,null,null,null
2002-04-18,null,null,null,null,null,null
2002-04-19,null,null,null,null,null,null
2002-04-22,null,null,null,null,null,null
2002-04-23,null,null,null,null,null,null
2002-04-24,null,null,null,null,null,null
2002-04-25,null,null,null,null,null,null
2002-04-26,null,null,null,null,null,null
2002-04-29,null,null,null,null,null,null
2002-04-30,null,null,null,null,null,null
2002-05-01,null,null,null,null,null,null
2002-05-02,null,null,null,null,null,null
2002-05-03,null,null,null,null,null,null
2002-05-06,null,null,null,null,null,null
2002-05-07,null,null,null,null,null,null
2002-05-08,null,null,null,null,null,null
2002-05-09,null,null,null,null,null,null
2002-05-10,null,null,null,null,null,null
2002-05-13,null,null,null,null,null,null
2002-05-14,null,null,null,null,null,null
2002-05-15,null,null,null,null,null,null
2002-05-16,null,null,null,null,null,null
2002-05-17,null,null,null,null,null,null
2002-05-20,null,null,null,null,null,null
2002-05-21,null,null,null,null,null,null
2002-05-22,null,null,null,null,null,null
2002-05-23,null,null,null,null,null,null
2002-05-24,null,null,null,null,null,null
2002-05-27,null,null,null,null,null,null
2002-05-28,null,null,null,null,null,null
2002-05-29,null,null,null,null,null,null
2002-05-30,null,null,null,null,null,null
2002-05-31,null,null,null,null,null,null
2002-06-03,null,null,null,null,null,null
2002-06-04,null,null,null,null,null,null
2002-06-05,null,null,null,null,null,null
2002-06-06,null,null,null,null,null,null
2002-06-07,null,null,null,null,null,null
2002-06-10,null,null,null,null,null,null
2002-06-11,null,null,null,null,null,null
2002-06-12,null,null,null,null,null,null
2002-06-13,null,null,null,null,null,null
2002-06-14,null,null,null,null,null,null
2002-06-17,null,null,null,null,null,null
2002-06-18,null,null,null,null,null,null
2002-06-19,null,null,null,null,null,null
2002-06-20,null,null,null,null,null,null
2002-06-21,null,null,null,null,null,null
2002-06-24,null,null,null,null,null,null
2002-06-25,null,null,null,null,null,null
2002-06-26,null,null,null,null,null,null
2002-06-27,null,null,null,null,null,null
2002-06-28,null,null,null,null,null,null
2002-07-01,null,null,null,null,null,null
2002-07-02,null,null,null,null,null,null
2002-07-03,null,null,null,null,null,null
2002-07-04,null,null,null,null,null,null
2002-07-05,null,null,null,null,null,null
2002-07-08,null,null,null,null,null,null
2002-07-09,null,null,null,null,null,null
2002-07-10,null,null,null,null,null,null
2002-07-11,null,null,null,null,null,null
2002-07-12,0.397500,0.397500,0.397500,0.397500,0.396685,0
2002-07-15,null,null,null,null,null,null
2002-07-16,0.600000,0.600000,0.600000,0.600000,0.598771,1
2002-07-17,null,null,null,null,null,null
2002-07-18,null,null,null,null,null,null
2002-07-19,null,null,null,null,null,null
2002-07-22,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-07-23,null,null,null,null,null,null
2002-07-24,null,null,null,null,null,null
2002-07-25,null,null,null,null,null,null
2002-07-26,null,null,null,null,null,null
2002-07-29,null,null,null,null,null,null
2002-07-30,null,null,null,null,null,null
2002-07-31,null,null,null,null,null,null
2002-08-01,null,null,null,null,null,null
2002-08-02,null,null,null,null,null,null
2002-08-05,null,null,null,null,null,null
2002-08-06,null,null,null,null,null,null
2002-08-07,null,null,null,null,null,null
2002-08-08,null,null,null,null,null,null
2002-08-09,null,null,null,null,null,null
2002-08-12,null,null,null,null,null,null
2002-08-13,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-14,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-15,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-16,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-19,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-20,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-21,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-22,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-23,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-26,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-27,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-28,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-29,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-08-30,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-02,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-03,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-04,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-05,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-06,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-09,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-10,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-11,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-12,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-13,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-16,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-17,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-18,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-19,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-20,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-23,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-24,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-25,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-26,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-27,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-09-30,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-01,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-02,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-03,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-04,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-07,0.705000,0.705000,0.705000,0.705000,0.703555,3
2002-10-08,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-09,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-10,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-11,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-14,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-15,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-16,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-17,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-18,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-21,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-22,0.675000,0.675000,0.675000,0.675000,0.673617,0
2002-10-23,0.705000,0.705000,0.705000,0.705000,0.703555,0
2002-10-24,0.705000,0.705000,0.705000,0.705000,0.703555,0
2002-10-25,0.705000,0.705000,0.705000,0.705000,0.703555,0
2002-10-28,0.705000,0.705000,0.705000,0.705000,0.703555,0
2002-10-29,0.705000,0.705000,0.705000,0.705000,0.703555,0
2002-10-30,0.705000,0.705000,0.705000,0.705000,0.703555,0
2002-10-31,0.720000,0.720000,0.720000,0.720000,0.718525,7
2002-11-01,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-04,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-05,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-06,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-07,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-08,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-11,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-12,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-13,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-14,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-15,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-18,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-19,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-20,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-21,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-22,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-25,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-26,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-27,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-28,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-11-29,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-12-02,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-12-03,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-12-04,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-12-05,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-12-06,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-12-09,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-12-10,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-12-11,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-12-12,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-12-13,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-12-16,0.720000,0.720000,0.720000,0.720000,0.718525,0
2002-12-17,0.720000,0.720000,0.720000,0.720000,0.718525,0
